[Date: 29.04.2021 time: 22:02:54] | Succesfully started BankingLogger
[Date: 29.04.2021 time: 22:09:56] | Player: 76561198037023350 Deposited 50 on own account.
[Date: 29.04.2021 time: 22:10:09] | Player: 76561198037023350 withdrawed 2000 from own account.
[Date: 29.04.2021 time: 22:10:22] | Player: 76561198223714820 Deposited 75080 on own account.
[Date: 29.04.2021 time: 22:11:58] | Player: 76561198037023350 withdrawed 100 from own account.
[Date: 29.04.2021 time: 22:13:02] | Player: 76561198223714820 Deposited 10000 on own account.
[Date: 29.04.2021 time: 22:14:51] | Player: 76561197976576399 Deposited 87240 on own account.
[Date: 29.04.2021 time: 22:18:49] | Player: 76561198396489573 Deposited 27309 on own account.
[Date: 29.04.2021 time: 22:38:49] | Player: 76561198999593356 withdrawed 9121 from own account.
[Date: 29.04.2021 time: 22:56:00] | Player: 76561198013080573 withdrawed 5000 from own account.
[Date: 29.04.2021 time: 22:56:16] | Player: 76561198999593356 withdrawed 30000 from own account.
[Date: 29.04.2021 time: 22:57:28] | Player: 76561198999593356 Deposited 971 on own account.
[Date: 29.04.2021 time: 22:58:25] | Player: 76561198013080573 Deposited 865 on own account.
[Date: 29.04.2021 time: 23:59:18] | Player: 76561198999593356 withdrawed 30000 from own account.
[Date: 30.04.2021 time: 00:08:53] | Player: 76561198999593356 Deposited 5080 on own account.
[Date: 30.04.2021 time: 00:12:43] | Player: 76561199128139154 Deposited 31855 on own account.
[Date: 30.04.2021 time: 00:17:08] | Player: 76561199122053225 Deposited 31725 on own account.
[Date: 30.04.2021 time: 00:59:56] | Player: 76561199128139154 Deposited 3825 on own account.
[Date: 30.04.2021 time: 01:35:07] | Player: 76561199122053225 Deposited 26890 on own account.
