[Date: 26.04.2021 time: 14:01:16] | Succesfully started BankingLogger
[Date: 26.04.2021 time: 14:36:29] | Player: 76561199076812837 withdrawed 30000 from own account.
[Date: 26.04.2021 time: 14:39:34] | Player: 76561199076812837 Deposited 18780 on own account.
[Date: 26.04.2021 time: 15:31:05] | Player: 76561198034506545 Deposited 24000 on own account.
[Date: 26.04.2021 time: 15:39:29] | Player: 76561198034506545 Deposited 49188 on own account.
[Date: 26.04.2021 time: 15:46:15] | Player: 76561198034506545 Deposited 12460 on own account.
[Date: 26.04.2021 time: 15:50:13] | Player: 76561198034506545 withdrawed 1200 from own account.
[Date: 26.04.2021 time: 15:53:10] | Player: 76561198034506545 Deposited 212 on own account.
[Date: 26.04.2021 time: 16:06:07] | Player: 76561198037023350 Deposited 13248 on own account.
[Date: 26.04.2021 time: 16:12:04] | Player: 76561198037023350 Deposited 10458 on own account.
[Date: 26.04.2021 time: 16:19:33] | Player: 76561199128139154 Deposited 7500 on own account.
[Date: 26.04.2021 time: 16:46:45] | Player: 76561198037023350 Deposited 7996 on own account.
[Date: 26.04.2021 time: 16:48:53] | Player: 76561198037023350 Deposited 1250 on own account.
[Date: 26.04.2021 time: 16:50:49] | Player: 76561198037023350 Deposited 1200 on own account.
