[Date: 22.04.2021 time: 18:00:56] | Succesfully started BankingLogger
[Date: 22.04.2021 time: 18:49:22] | Player: 76561198034506545 Deposited 3000 on own account.
[Date: 22.04.2021 time: 18:49:45] | Player: 76561199148015671 Deposited 13003 on own account.
[Date: 22.04.2021 time: 18:50:01] | Player: 76561198042235031 Deposited 500 on own account.
[Date: 22.04.2021 time: 19:06:56] | Player: 76561198254602740 withdrawed 43122 from own account.
[Date: 22.04.2021 time: 19:07:54] | Player: 76561198013080573 withdrawed 10000 from own account.
[Date: 22.04.2021 time: 19:08:26] | Player: 76561198035432577 Deposited 1000 on own account.
[Date: 22.04.2021 time: 19:12:29] | Player: 76561199148015671 Deposited 14790 on own account.
[Date: 22.04.2021 time: 19:13:27] | Player: 76561198013080573 withdrawed 10000 from own account.
[Date: 22.04.2021 time: 19:15:11] | Player: 76561198086725669 withdrawed 500000 from own account.
[Date: 22.04.2021 time: 19:21:19] | Player: 76561198254602740 Deposited 10622 on own account.
[Date: 22.04.2021 time: 19:22:25] | Player: 76561198035432577 Deposited 400 on own account.
[Date: 22.04.2021 time: 19:22:59] | Player: 76561198254602740 withdrawed 10622 from own account.
[Date: 22.04.2021 time: 19:26:52] | Player: 76561198013080573 Deposited 758 on own account.
[Date: 22.04.2021 time: 19:29:09] | Player: 76561199048973301 Deposited 4000 on own account.
[Date: 22.04.2021 time: 19:30:11] | Player: 76561198254602740 Deposited 412 on own account.
[Date: 22.04.2021 time: 19:43:10] | Player: 76561198979058621 withdrawed 5000 from own account.
[Date: 22.04.2021 time: 19:43:33] | Player: 76561198979058621 Deposited 4000 on own account.
[Date: 22.04.2021 time: 19:45:25] | Player: 76561198254602740 Deposited 865 on own account.
[Date: 22.04.2021 time: 19:46:11] | Player: 76561198254602740 Deposited 510 on own account.
[Date: 22.04.2021 time: 19:47:18] | Player: 76561198960953221 withdrawed 2000 from own account.
[Date: 22.04.2021 time: 19:47:23] | Player: 76561198086725669 Deposited 303720 on own account.
[Date: 22.04.2021 time: 19:48:44] | Player: 76561198096469059 withdrawed 21000 from own account.
[Date: 22.04.2021 time: 19:50:59] | Player: 76561198133603788 Deposited 9641 on own account.
[Date: 22.04.2021 time: 19:52:51] | Player: 76561198133603788 Deposited 73 on own account.
[Date: 22.04.2021 time: 19:52:54] | Player: 76561198133603788 withdrawed 500 from own account.
